,True,Predicted,RF,Total Duplication,Mapped Interval,Predictive Distribution
16,"(B_2:3.6649745647127268,((A_1:2.2559511839650477,(B_3:0.6565593960222129,B_1:0.6565593960222129):1.5993917879428348):0.2990933609005324,C_1:2.55504454486558):1.109930019847147):0.0;","(B_2,((A_1,(B_1,B_3)),C_1));",0,0,111141211319.0,"{'(B_1,((A_1,(B_2,B_3)),C_1));': 0.0, '(B_2,((A_1,(B_1,B_3)),C_1));': 1.0, '(B_3,((A_1,(B_1,B_2)),C_1));': 0.0}"
17,"((B_1:1.208507154269839,C_1:1.208507154269839):2.189526641486488,(A_2:1.8426041191209457,A_1:1.8426041191209457):1.5554296766353812):0.0;","((B_1,C_1),(A_1,A_2));",0,0,117111010.0,"{'((B_1,C_1),(A_1,A_2));': 1.0}"
18,"(A_1:2.2457827521007125,(C_1:1.1184254151807143,B_1:1.1184254151807143):1.1273573369199983):0.0;","(A_1,(C_1,B_1));",0,0,111612.0,"{'(A_1,(C_1,B_1));': 1.0}"
19,"((B_2:0.9797928860152509,B_3:0.9797928860152509):4.061191230431277,((B_1:2.0010826621210818,C_1:2.0010826621210818):0.969730774955524,A_1:2.9708134370766057):2.070170679369922):0.0;","((B_2,B_3),((B_1,C_1),A_1));",0,0,115111111515.0,"{'((B_1,B_2),((B_3,C_1),A_1));': 0.0, '((B_1,B_3),((B_2,C_1),A_1));': 0.0, '((B_2,B_3),((B_1,C_1),A_1));': 1.0}"
20,"(C_2:3.0474907218063523,(A_1:2.7406832780439787,(B_1:1.1001306040994216,(C_3:0.3734546895196634,C_1:0.3734546895196634):0.7266759145797583):1.6405526739445573):0.30680744376237357):0.0;","(C_2,(A_1,(B_1,(C_1,C_3))));",0,0,11111261416.0,"{'(C_1,(A_1,(B_1,(C_2,C_3))));': 0.0, '(C_2,(A_1,(B_1,(C_1,C_3))));': 1.0, '(C_3,(A_1,(B_1,(C_1,C_2))));': 0.0}"
21,"(((C_1:1.9929143491796792,(B_2:1.574609606756149,B_1:1.574609606756149):0.4183047424235302):0.25962974731439276,A_1:2.252544096494072):1.171764273674421,(B_4:1.6410886896488979,B_3:1.6410886896488979):1.7832196805195952):0.0;","(((C_1,(B_1,B_2)),A_1),(B_3,B_4));",0,0,11181011211912.0,"{'(((C_1,(B_1,B_2)),A_1),(B_3,B_4));': 1.0, '(((C_1,(B_1,B_3)),A_1),(B_2,B_4));': 0.0, '(((C_1,(B_1,B_4)),A_1),(B_2,B_3));': 0.0, '(((C_1,(B_2,B_3)),A_1),(B_1,B_4));': 0.0, '(((C_1,(B_2,B_4)),A_1),(B_1,B_3));': 0.0, '(((C_1,(B_3,B_4)),A_1),(B_1,B_2));': 0.0}"
22,"((B_1:2.5052854905841455,A_1:2.5052854905841455):2.797266568931343,C_1:5.302552059515488):0.0;","((B_1,A_1),C_1);",0,0,1113127.0,"{'((B_1,A_1),C_1);': 1.0}"
23,"(A_1:3.6414072732269975,((C_2:1.4972084041238216,B_1:1.4972084041238216):0.31189198404412233,(C_3:0.8196304020767039,C_1:0.8196304020767039):0.98946998609124):1.832306885059054):0.0;","(A_1,((C_2,B_1),(C_1,C_3)));",0,0,1118115819.0,"{'(A_1,((C_1,B_1),(C_2,C_3)));': 0.0, '(A_1,((C_2,B_1),(C_1,C_3)));': 1.0, '(A_1,((C_3,B_1),(C_1,C_2)));': 0.0}"
24,"(A_1:2.3153856249965354,(C_2:1.6239805434650658,(B_1:1.4218085094374886,C_1:1.4218085094374886):0.20217203402757722):0.6914050815314694):0.0;","(A_1,(C_2,(B_1,C_1)));",0,0,11118912.0,"{'(A_1,(C_1,(B_1,C_2)));': 0.0, '(A_1,(C_2,(B_1,C_1)));': 1.0}"
25,"(A_1:3.056896395658841,(A_2:2.3989446801793695,(C_1:1.0180810455905083,B_1:1.0180810455905083):1.3808636345888612):0.6579517154794718):0.0;","(A_1,(A_2,(C_1,B_1)));",0,0,111161216.0,"{'(A_1,(A_2,(C_1,B_1)));': 1.0, '(A_2,(A_1,(C_1,B_1)));': 0.0}"
26,"(A_1:2.659036968620854,(C_1:1.3603035324781585,B_1:1.3603035324781585):1.2987334361426957):0.0;","(A_1,(C_1,B_1));",0,0,111714.0,"{'(A_1,(C_1,B_1));': 1.0}"
27,"((A_1:2.0093512672222382,(C_2:1.1338517807050388,C_1:1.1338517807050388):0.8754994865171994):2.0893551393441947,B_1:4.098706406566433):0.0;","((A_1,(C_1,C_2)),B_1);",0,0,111611121.0,"{'((A_1,(C_1,C_2)),B_1);': 1.0}"
28,"((B_1:1.5517583569895221,C_1:1.5517583569895221):1.3729420399673753,(A_2:1.8921909627884212,(A_3:0.45177431369539095,A_1:0.45177431369539095):1.4404166490930304):1.032509434168476):0.0;","((B_1,C_1),(A_2,(A_1,A_3)));",0,0,11811131010.0,"{'((B_1,C_1),(A_1,(A_2,A_3)));': 0.0, '((B_1,C_1),(A_2,(A_1,A_3)));': 1.0, '((B_1,C_1),(A_3,(A_1,A_2)));': 0.0}"
29,"(A_1:2.23491934262434,(B_2:1.9794179744258185,(C_1:1.6768333456901237,(B_3:0.3684950748665177,B_1:0.3684950748665177):1.308338270823606):0.3025846287356948):0.25550136819852165):0.0;","(A_1,(B_2,(C_1,(B_1,B_3))));",0,0,11111291012.0,"{'(A_1,(B_1,(C_1,(B_2,B_3))));': 0.0, '(A_1,(B_2,(C_1,(B_1,B_3))));': 1.0, '(A_1,(B_3,(C_1,(B_1,B_2))));': 0.0}"
30,"(A_1:5.161261555261287,(A_2:2.5859801933424666,(C_1:1.7086025999302605,B_1:1.7086025999302605):0.8773775934122061):2.57528136191882):0.0;","(A_1,(A_2,(C_1,B_1)));",0,0,111191326.0,"{'(A_1,(A_2,(C_1,B_1)));': 1.0, '(A_2,(A_1,(C_1,B_1)));': 0.0}"
31,"((A_2:2.47506340437198,A_3:2.47506340437198):2.4517469225274233,(C_1:3.1250649589610395,(A_1:2.002729655512749,B_1:2.002729655512749):1.1223353034482904):1.8017453679383637):0.0;","((A_2,A_3),(C_1,(A_1,B_1)));",0,0,1113111111616.0,"{'((A_1,A_2),(C_1,(A_3,B_1)));': 0.0, '((A_1,A_3),(C_1,(A_2,B_1)));': 0.0, '((A_2,A_3),(C_1,(A_1,B_1)));': 1.0}"
32,"((A_2:1.5402236038409693,A_1:1.5402236038409693):2.8299721886536924,(A_3:2.504805588749947,(C_1:1.512163621330219,B_1:1.512163621330219):0.9926419674197282):1.8653902037447145):0.0;","((A_1,A_2),(A_3,(C_1,B_1)));",0,0,11811181313.0,"{'((A_1,A_2),(A_3,(C_1,B_1)));': 1.0, '((A_1,A_3),(A_2,(C_1,B_1)));': 0.0, '((A_2,A_3),(A_1,(C_1,B_1)));': 0.0}"
33,"((B_1:1.4886262610409637,C_1:1.4886262610409637):0.7078404589623464,A_1:2.1964667200033103):0.0;","((B_1,C_1),A_1);",0,0,118111.0,"{'((B_1,C_1),A_1);': 1.0}"
34,"(B_2:3.0268133264255583,(B_3:2.9578051826455667,((C_1:1.557253951368054,B_1:1.557253951368054):0.9468328007962747,A_1:2.5040867521643286):0.45371843048123806):0.06900814377999165):0.0;","(B_2,(B_3,((C_1,B_1),A_1)));",0,0,111181131516.0,"{'(B_1,(B_2,((C_1,B_3),A_1)));': 0.0, '(B_1,(B_3,((C_1,B_2),A_1)));': 0.0, '(B_2,(B_1,((C_1,B_3),A_1)));': 0.0, '(B_2,(B_3,((C_1,B_1),A_1)));': 1.0, '(B_3,(B_1,((C_1,B_2),A_1)));': 0.0, '(B_3,(B_2,((C_1,B_1),A_1)));': 0.0}"
35,"((B_1:2.055423293699246,(A_2:1.6062142136190622,A_1:1.6062142136190622):0.4492090800801838):0.2844062176121315,C_1:2.3398295113113776):0.0;","((B_1,(A_1,A_2)),C_1);",0,0,111911112.0,"{'((B_1,(A_1,A_2)),C_1);': 1.0}"
