replicate,duplications,observed_duplications,losses,CNH,RKH,ILS,ILS_DLCPAR
503,3,3,0,0,2,1,1
504,4,4,0,0,1,5,4
505,1,1,0,0,1,1,1
506,13,13,0,0,3,9,7
507,9,9,0,0,3,5,4
508,3,3,0,0,0,1,1
509,5,5,0,0,0,3,3
510,10,10,0,0,5,8,6
511,19,18,0,1,9,14,13
512,9,9,0,0,2,8,6
513,4,4,0,0,1,2,2
514,2,2,0,0,0,3,2
515,1,1,0,0,0,2,1
516,7,7,0,0,1,2,2
517,10,10,0,0,0,5,4
518,6,6,0,0,0,3,2
519,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0
521,8,8,0,0,2,4,3
522,2,2,0,0,2,1,1
523,2,2,0,0,1,2,1
524,9,9,0,1,2,8,6
525,4,4,0,0,0,2,2
526,11,11,0,0,2,7,7
527,4,4,0,0,0,2,2
528,3,3,0,0,1,5,4
529,0,0,0,0,0,0,0
530,2,2,0,0,0,1,1
531,1,1,0,0,1,0,0
532,3,3,0,0,0,2,1
533,7,7,0,0,1,2,2
534,9,9,0,0,3,4,4
535,2,2,0,0,1,2,2
536,6,6,0,0,1,1,1
537,5,5,0,0,4,8,5
538,5,5,0,0,0,2,2
539,10,8,0,0,3,6,5
540,4,4,0,0,0,5,3
541,3,3,0,0,0,3,3
542,5,5,0,0,0,4,3
543,12,12,0,0,1,9,7
544,0,0,0,0,0,0,0
545,2,2,0,0,0,0,0
546,2,2,0,0,0,2,1
547,3,3,0,0,0,4,2
548,2,2,0,0,0,2,2
549,1,1,0,0,1,1,1
550,0,0,0,0,0,0,0
551,1,1,0,0,1,1,1
552,10,10,0,0,3,7,5
553,2,2,0,0,0,2,1
554,3,3,0,0,1,1,1
555,5,5,0,0,1,3,3
556,6,6,0,0,3,4,3
557,4,4,0,0,0,3,2
558,1,1,0,0,1,1,1
559,25,25,0,0,9,20,15
560,2,2,0,0,0,1,1
561,2,2,0,0,0,1,1
562,1,1,0,0,0,0,0
